duration,title,rank,author
04:49,无问西东 - (电影《无问西东》同名推广曲),1,王菲
05:59,皮囊,2,萧敬腾
04:59,你要的全拿走 - (Take Everything You Want),3,胡彦斌Tiger Hu
03:31,Pink Trip,4,chill boy
04:02,说散就散 - (电影《前任3：再见前任》主题曲),5,袁娅维
04:42,重来,6,蔡健雅
03:38,16mm,7,陈婧霏
02:41,Into You,8,Matisse & Sadko/Hanne Mjøen
05:26,火车驶向云外，梦安魂于九霄,9,刺猬
04:41,帛画魂,10,雷佳
03:44,无名高地 - (Treasure Island of Memories),11,回音哥
02:55,Shivers,12,Rachel Platten
03:24,My My My!,13,Troye Sivan
02:57,Love You Like That,14,Dagny
04:16,如果我是你,15,邱锋泽/吴心缇
03:39,Runaway,16,Sasha Sloan
03:45,给我酒,17,Julia Wu/阮禾茜
03:20,什么什么 - (电影《捉妖记2》主题曲),18,蔡依林
04:43,犴达罕,19,陈鸿宇
04:40,舍不得,20,曾静玟
04:11,暖山,21,刘珂矣
05:01,无期,22,AGA
47:09,2017 End of the Year Mix,23,Vicetone
03:56,HEAL ME,24,HeFeng
04:18,无数个我 - (电影《杀无赦》片尾曲),25,艾怡良
03:59,DOUBLE,26,A.T.M.（顶级玩家）
04:02,沙发 - (Sofa),27,金玟岐
04:04,剩下了自己 - (电视剧《恋爱先生》人物主题曲),28,张韶涵
03:43,且听枫吟,29,封茗囧菌
04:02,That's Alright,30,袁咏琳
04:23,会走路的树,31,王宏恩
03:24,下着雨的夏季,32,胡少挺
02:25,Best of 2017 Medley,33,Anthem Lights
03:39,篝火旁,34,吕大叶/马子林Broma
04:56,害怕,35,Fine乐团
03:24,失恋重修手册,36,税子洺/赵钶/G.G(张思源）/王睿
04:20,清昶,37,棱镜
04:35,中毒,38,光泽
03:46,只是太在意 - (超级网剧《镇魂》片尾曲),39,宁桓宇
04:50,Just Like This (Original Mix),40,Deepmaniak
04:18,无问 - (电影《无问西东》宣传曲),41,毛不易
03:37,2799,42,佳利
03:39,love9,43,Only J
03:56,梦游,44,李沁枬
04:10,喜欢,45,阿肆
03:14,平面鏡,46,REOL
03:14,Scripts,47,Chelsea Cutler
04:23,那时正少年（《那时正少年》电影推广曲）,48,太史婧雯
03:19,Hoodie,49,Hey Violet/Ayo & Teo
04:05,差一步,50,大壮
03:54,Live Your Life,51,于湉
04:10,无忧的蓝天 - (纪录片《香巴拉深处》主题曲),52,小柯/老狼
04:00,赴约,53,宿羽阳
03:44,那一天,54,Toy王奕
03:08,You Could Be (Breathe Carolina Remix),55,R3hab/Khrebto
02:40,Kiss Fight (Ben Phipps Remix),56,Tülpa & BLANKTS/gnash/Ben Phipps
05:43,WATER BLUE NEW WORLD - (TV动画《Love Live! Sunshine!!》第12集插曲 / TVアニメ「ラブライブ! サンシャイン!! 2nd Season」第12話挿入歌),57,Aqours
03:25,Just Like You,58,Louis Tomlinson
03:56,蓝色降落伞,59,周深
05:07,江湖白雪,60,李蚊香
03:36,双人行,61,熙er
03:59,嘲笑声,62,Big Daddy
04:19,永不失联的爱,63,周兴哲
04:01,退,64,曲肖冰
03:33,Dying In the Sun,65,The Cranberries
03:36,Havana,66,Camila Cabello/Young Thug
04:39,你不知道,67,盈妹妹
03:05,STREET LIVIN',68,Black Eyed Peas
02:58,Consequences,69,Camila Cabello
10:27,HITS OF 2017,70,T10MO
03:27,年年,71,徐秉龙
02:25,I'm Chasing You - (电视剧《柒个我》插曲),72,蔡文静
03:27,Walking All Day,73,Graham Coxon
03:49,King's Dead,74,Jay Rock/Kendrick Lamar/Future
04:07,丢不掉,75,北岛诗
04:02,冷酷情人物语,76,祁紫檀
04:38,WONDERFUL STORIES - (TV动画《Love Live! Sunshine!!》第13集插曲 / TVアニメ「ラブライブ! サンシャイン!! 2nd Season」第13話挿入歌),77,Aqours
04:42,娱乐 - (Entertainment),78,金玟岐
02:41,Ga$ping,79,Zkaaai/Oceanlee
03:31,繁华之处,80,栗先达
04:19,万人迷,81,BrAnTB
02:44,All These Years,82,Camila Cabello
02:29,“据说真的有神”（Prod.蛋卷）,83,木秦
02:00,改日吧,84,DouDou
03:54,狐狸 - (电影《二代妖精之今生有幸》推广曲),85,薛之谦
02:47,Look What You Made Me Do,86,J.Fla
03:24,嘘(Acoustic),87,愚青
01:33,Talk To You,88,Young Mai
03:34,画舫烟中浅,89,Pig小优
03:46,见南山,90,Winky诗
04:29,今遇兰,91,高进
05:07,Zombie,92,The Cranberries
04:18,破冬,93,王华峰
02:36,PUMA,94,NINEONE
12:35,PopLove 6 (Mashup Of 2017),95,Robin Skouteris
03:38,我唱情歌给你听（大合唱串烧）,96,李惠芹/傅酥/李迦南/等人
03:30,抖M,97,方丈Mason-D
05:31,ONE,98,Aimer
01:45,好想你,99,李雪莱
04:00,爱如潮水Remix,100,阿颖不说话/扬科YANGK
